date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:50:44	315/315	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2012%20Nov%202020%2003:20:45%20GMT	http://chargedaqua.com/templates/gk_stora	C:/Users/hp/Desktop/ecas/chargedaqua.com/templates/gk_stora	(from http://chargedaqua.com/)
08:50:44	0/0	---M--	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2003:20:45%20GMT	http://chargedaqua.com/templates/gk_stora/	C:/Users/hp/Desktop/ecas/chargedaqua.com/templates/gk_stora/index.html	(from http://chargedaqua.com/)
08:50:45	4660/4660	---M--	200	added ('OK')	text/css	etag:%22a0015-1234-5b3e0612eaf4b%22	http://chargedaqua.com/templates/gk_stora/css/small.desktop.css	C:/Users/hp/Desktop/ecas/chargedaqua.com/templates/gk_stora/css/small.desktop.css	(from http://chargedaqua.com/)
08:50:45	25100/25100	---M--	200	added ('OK')	image/png	etag:%22a0f7d-620c-588ec8de7ee80%22	http://chargedaqua.com/templates/gk_stora/images/touch-device.png	C:/Users/hp/Desktop/ecas/chargedaqua.com/templates/gk_stora/images/touch-device.png	(from http://chargedaqua.com/)
08:50:45	10463/10463	---M--	200	added ('OK')	text/css	etag:%22a001a-28df-5b3e0612fdc11%22	http://chargedaqua.com/templates/gk_stora/css/tablet.css	C:/Users/hp/Desktop/ecas/chargedaqua.com/templates/gk_stora/css/tablet.css	(from http://chargedaqua.com/)
08:50:45	4332/4332	---M--	200	added ('OK')	text/css	etag:%22a001e-10ec-5b3e061305910%22	http://chargedaqua.com/templates/gk_stora/css/small.tablet.css	C:/Users/hp/Desktop/ecas/chargedaqua.com/templates/gk_stora/css/small.tablet.css	(from http://chargedaqua.com/)
08:50:46	16736/16736	---M--	200	added ('OK')	text/css	etag:%22a0021-4160-5b3e061312bfe%22	http://chargedaqua.com/templates/gk_stora/css/mobile.css	C:/Users/hp/Desktop/ecas/chargedaqua.com/templates/gk_stora/css/mobile.css	(from http://chargedaqua.com/)
08:50:47	9416/9416	---M--	200	added ('OK')	image/png	etag:%22a12b1-24c8-58ba4bc81f4b3%22	http://chargedaqua.com/images/demo/logo.png	C:/Users/hp/Desktop/ecas/chargedaqua.com/images/demo/logo.png	(from http://chargedaqua.com/)
08:50:49	41419/41419	---MC-	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2003:20:49%20GMT	http://chargedaqua.com/index.php/shop	C:/Users/hp/Desktop/ecas/chargedaqua.com/index.php/shop.html	(from http://chargedaqua.com/)
08:50:50	17055/17055	---MC-	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2003:20:51%20GMT	http://chargedaqua.com/index.php/component/users/?view=login&Itemid=101	C:/Users/hp/Desktop/ecas/chargedaqua.com/index.php/component/users/index1542.html	(from http://chargedaqua.com/)
